Disease,What is it?,Symptoms,Cause,Prevention,Treatment,Why it matters
Post-traumatic stress disorder,Key facts An estimated 3.9% of the world population has had post-traumatic stress disorder (PTSD) at some stage in their lives. Most people exposed to potentially traumatic events do not develop PTSD. ,"Symptoms and patterns Experiencing distress or other mental health difficulties after a potentially traumatic event is common but does not mean someone is experiencing PTSD. Someone experiences PTSD when they have symptoms re-experiencing the event, avoid reminders of the event and experience symptoms of heightened arousal that cause significant distress, and interfere with daily activities and family, social, school or working life. ","Symptoms of PTSD typically begin immediately after or within one month of a traumatic event. In younger children, symptoms are often behavioural and can include re-enacting the traumatic event during play or in drawings. Children often unjustly blame themselves for what happened. The experience of PTSD can also vary across cultures. For instance, in some cultures, it may be more acceptable to express anger about the event, making this a more prominent experience. In other cultures, people with PTSD may more commonly have physical complaints with unclear causes, such as headaches or gastrointestinal symptoms. People with PTSD may also have depressive disorder, anxiety disorders and substance use disorders as well as suicidal thoughts and behaviours. Many of the effects of PTSD (such as physical tension or harmful use of alcohol) are also known risk factors for physical diseases such as cardiovascular disease. ",,There are effective treatments for PTSD. Overview ,
Pre-eclampsia,Key Facts Pre-eclampsia affects 2–8% of pregnancies worldwide. There are around 46 000 maternal deaths due to pre-eclampsia per year and around 500 000 fetal or newborn deaths (1). Overview ,"Pre-eclampsia is diagnosed based on the onset of hypertension (blood pressure ≥140/90 mm Hg) and proteinuria (≥0.3 g/24 hours) after 20 weeks of gestation. Severe pre-eclampsia may include symptoms such as severe headaches, visual disturbances and upper abdominal pain. Risk factors ",Global and regional causes of maternal deaths 2009–20: a WHO systematic analysis. Lancet Glob Health. 2025. ,"Pre-eclampsia is a high blood pressure disorder that typically develops after 20 weeks into pregnancy. It can present serious risks to both mother and baby. Early detection and management are crucial to prevent progression to eclampsia, which involves seizures. Both conditions can be life-threatening. Diagnosis ","Several factors can increase the risk of developing pre-eclampsia during pregnancy. Understanding these risk factors is essential for proactive monitoring and management. Having a risk factor doesn't always mean pre-eclampsia will occur, but closer medical supervision beyond routine screening is recommended. Several factors can increase the risk of developing pre-eclampsia, including: ",
Prequalification of medicines by WHO,"WHO prequalification of medicines is a service provided by WHO to assess the quality, safety and efficacy of medicinal products. Originally, in 2001, the focus was on medicines for treating HIV, tuberculosis and malaria. In 2006, this was extended to cover medicines and products for reproductive health and again in 2008, to cover prequalification of zinc, for managing acute diarrhoea in children. At the end of 2012, the WHO List of Prequalified Medicinal Products contained 316 medicines for priority diseases. Every year, billions of US dollars worth of medicines are purchased by international procurement agencies for distribution in resource-limited countries. Prequalification is intended to give these agencies the choice of a wide range of quality medicines for bulk purchase. ",,,,it is recommended for use by a current WHO treatment guideline. 2. Dossier submission ,
Preterm birth,"Overview Preterm is defined as babies born alive before 37 weeks of pregnancy are completed. There are sub-categories of preterm birth, based on gestational age: extremely preterm (less than 28 weeks) ",,"Babies may be born preterm because of spontaneous preterm labour or because there is a medical indication to plan an induction of labour or caesarean birth early. An estimated 13.4 million babies were born too early in 2020. That is more than 1 in 10 babies. Approximately 900 000 children die in 2019 of complications of preterm birth (1). Many survivors face a lifetime of disability, including learning disabilities and visual and hearing problems. ","Preventing deaths and complications from preterm birth starts with a healthy pregnancy. WHO’s antenatal care guidelines include key interventions to help prevent preterm birth, such as counselling on healthy diet, optimal nutrition, and tobacco and substance use; fetal measurements including use of early ultrasound to help determine gestational age and detect multiple pregnancies; and a minimum of 8 contacts with health professionals throughout pregnancy – starting before 12 weeks – to identify and manage risk factors such as infections. If a woman experiences preterm labour or is at risk of preterm childbirth, treatments are available to help protect the preterm baby from future neurological impairment as well as difficulties with breathing and infection. These include antenatal steroids and tocolytic treatments to delay labour and antibiotics for preterm prolabour rupture of membranes (PPROM). ","Globally, prematurity is the leading cause of death in children under the age of 5 years. Inequalities in survival rates around the world are stark. In low-income settings, half of the babies born at or below 32 weeks (2 months early) die due to a lack of feasible, cost-effective care such as warmth, breastfeeding support and basic care for infections and breathing difficulties. In high-income countries, almost all these babies survive. Suboptimal use of technology in middle-income settings is causing an increased burden of disability among preterm babies who survive the neonatal period. Why does preterm birth happen? ",
Primary health care,Key facts Over 1 billion people worldwide are at risk of falling into poverty due to out-of-pocket health spending of 10% or more of their household budget. Overview ,,,"The concept of PHC has been repeatedly reinterpreted and redefined in the years since 1978, leading to confusion about the term and its practice. A clear and simple definition has been developed to facilitate the coordination of future PHC efforts at the global, national and local levels and to guide their implementation: ""PHC is a whole-of-society approach to health that aims at ensuring the highest possible level of health and well-being and their equitable distribution by focusing on people’s needs and as early as possible along the continuum from health promotion and disease prevention to treatment, rehabilitation and palliative care, and as close as feasible to people’s everyday environment."" PHC entails three inter-related and synergistic components, including: comprehensive integrated health services that embrace primary care as well as public health goods and functions as central pieces; multi-sectoral policies and actions to address the upstream and wider determinants of health; and engaging and empowering individuals, families and communities for increased social participation and enhanced self-care and self-reliance in health. ",Scaling up primary health care (PHC) interventions across low and middle-income countries could save 60 million lives and increase average life expectancy by 3.7 years by 2030. An estimated 75% of the projected health gains from the Sustainable Development Goals could be achieved through PHC. ,"For universal health coverage (UHC) to be truly universal, a shift is needed from health systems designed around diseases and institutions towards health systems designed for people, with people. PHC requires governments at all levels to underscore the importance of action beyond the health sector in order to pursue a whole-of government approach to health, including health-in-all-policies, a strong focus on equity and interventions that encompass the entire life-course. PHC addresses the broader determinants of health and focuses on the comprehensive and interrelated aspects of physical, mental and social health and well-being. It provides whole-person care for health needs throughout the lifespan, not just for a set of specific diseases. Primary health care ensures people receive quality comprehensive care – ranging from promotion and prevention to treatment, rehabilitation and palliative care – as close as feasible to people’s everyday environment. "
Protecting workers' health,"Economically active people spend on an average about one third of their time at the workplace. Employment and working conditions have powerful effects on health equity. Good working conditions can provide social protection and status, personal development opportunities, and protection from physical and psychosocial hazards. They can also improve social relations and self esteem of employees and lead to positive health effects. ",,"Health risks at the workplace, such as heat, noise, dust, hazardous chemicals, unsafe machines and psychological stress, cause occupational diseases and can aggravate other health problems. Conditions of employment, occupation and the position in the workplace hierarchy also affect health. People working under stress or with precarious employment conditions are likely to smoke more, exercise less and have an unhealthy diet. In addition to general health care, all workers – and particularly those in high-risk occupations – need health services to assess and reduce exposure to occupational risks, as well as medical surveillance for early detection of occupational and work-related diseases and injuries. ","Primary care centres could provide some essential interventions for protecting workers’ health, such as advice for improving working conditions, detection of occupational diseases and health surveillance of workers, though in most countries the focus is still on medical treatment rather than prevention. What determines the health of workers ","Universal health coverage combines access to services needed to achieve good health (health promotion, prevention, treatment and rehabilitation, including those that address health determinants) with the financial protection that prevents ill health leading to poverty. There are effective interventions to prevent occupational diseases. For example encapsulation of pollution sources, ventilation, noise control, substitution of dangerous chemicals, improvement of furniture and the organization of work. ",
Quality health services,Key facts ,,,"It has been estimated that high quality health systems could prevent 2.5 million deaths from cardiovascular disease, 900 000 deaths from tuberculosis, 1 million newborn deaths and half of all maternal deaths each year (2). Overview ","Between 5.7 and 8.4 million deaths are attributed to poor quality care each year in low- and middle-income countries (LMICs), which represents up to 15% of overall deaths in these countries (1). Sixty per cent of deaths in LMICs from conditions requiring health care occur due to poor quality care, whereas the remaining deaths result from non-utilization of the health system (2). ",
Rabies,Key facts ,"Once the virus infects the central nervous system and clinical symptoms appear, rabies is fatal in 100% of cases. However, rabies deaths are preventable with prompt post exposure prophylaxis (PEP) by stopping the virus from reaching the central nervous system. PEP consists of thorough wound washing, administration of a course of human rabies vaccine and, when indicated, rabies immunoglobulins (RIG). ","Rabies is a serious public health problem in over 150 countries and territories, mainly in Asia and Africa. It is a viral, zoonotic, neglected tropical disease that causes tens of thousands of deaths annually, with 40% being children under 15. Dog bites and scratches cause 99% of the human rabies cases, and can be prevented through dog vaccination and bite prevention. ","WHO and its global partners aim to end human deaths from dog-mediated rabies through a comprehensive One Health approach promoting mass dog vaccination, ensuring access to PEP, health worker training, improved surveillance, and bite prevention through community awareness. Overview ","If a person is bitten or scratched by a potentially rabid animal, they should immediately and always seek PEP care. WHO and its global partners aim to end human deaths from dog-mediated rabies through a comprehensive One Health approach promoting mass dog vaccination, ensuring access to PEP, health worker training, improved surveillance, and bite prevention through community awareness. ",
Radon,"Overview Radon is a radioactive gas that has no smell, colour or taste. Radon is produced from the natural radioactive decay of uranium, which is found in all rocks and soils. Radon can also be found in water. ",,"Radon escapes from the ground into the air, where it decays and produces further radioactive particles. As we breathe, these particles are deposited on the cells lining the airways, where they can damage DNA and potentially cause lung cancer. Outdoors, radon quickly dilutes to very low concentrations and is generally not a problem. The average outdoor radon level (1) varies from 5 Bq/m3 to 15 Bq/m3. However, radon concentrations are higher indoors and in areas with minimal ventilation, with highest levels found in places like mines, caves and water treatment facilities. In buildings such as homes, schools, offices, radon levels can vary substantially from 10 Bq/m3 to more than 10 000 Bq/m3. Given the properties of radon, occupants of such buildings could unknowingly be living or working in very high radon levels. ","Well-tested, durable and cost-efficient methods exist for preventing radon in new buildings and reducing radon in existing dwellings. Radon prevention should be considered when new structures are built, particularly in radon-prone areas. In many countries of Europe, and in the United States of America and China, the inclusion of protective measures in new buildings are included in building codes. Some common ways of reducing radon levels in existing buildings include: ","The WHO guidelines for drinking water quality (2) (2011) recommend that screening levels for radon in drinking-water be set based on the national reference level for radon in air. In circumstances where high radon concentrations might be expected in drinking-water, it is prudent to measure radon concentrations. Straightforward and effective techniques exist to reduce the concentration of radon in drinking-water supplies by aeration or using granular activated carbon filters. Further guidance is available in Management of radioactivity in drinking-water (3) (2018). WHO response ",
Refugee and migrant health,"Overview Refugees and migrants have a variety of different physical and mental health needs, shaped by experiences in their country of origin, their migration journey, their host country’s entry and integration policies, and living and working conditions. These experiences can increase the vulnerability of refugees and migrants to chronic and infectious diseases. The COVID-19 pandemic has disrupted health services, putting people already in vulnerable situations at heightened risk and hampering the ability of health systems to respond to their needs. ","Refugees and migrants may also be at risk of poor mental health because of traumatic or stressful experiences Many of them experience feelings of anxiety and sadness, hopelessness, difficulty sleeping, fatigue, irritability, anger or aches and pains but for most people these symptoms of distress improve over time They may be at more risk of such as depression, anxiety and post-traumatic stress disorder (PTSD) than the host populations. Refugee and migrant health is also strongly related to the social determinants of health, such as employment, income, education and housing ","The term refugee is defined in Article 1 of the 1951 Convention Relating to the Status of Refugees (3). There is no universally accepted definition of the term migrant (4). However, the United Nations Department of Economic and Social Affairs defines an international migrant as “any person who changes his or her country of usual residence”, and this definition includes people who are moving or have moved across an international border, regardless of legal status, duration of the stay abroad and causes for migration (5). Migrants may be given a migration status that limits their entitlement and access to health care. However, international law guarantees universal access in line with the 2030 Agenda for Sustainable Development, in particular with Sustainable Development Goal 3 (ensure healthy lives and promote well-being for all at all ages) (6). ","Migrants, particularly in an irregular situation, are often excluded from national programmes for health promotion, disease prevention, treatment and care, as well as from financial protection in health. They can also face high user fees, low levels of health literacy, poor cultural competency among health providers, stigma and inadequate interpreting services. Barriers are even greater for people with disabilities. Women and girls may find difficulty in accessing sexual and gender-based violence protection and response services. Refugee and migrant children, especially unaccompanied minors, are more likely to experience traumatic events and stressful situations, such as exploitation and abuse, and may struggle to access health care. ","Refugees and migrants may arrive in the country of destination with poorly controlled non-communicable diseases, as they did not have care on the journey. Maternity care is usually a first point of contact with health systems for female refugees and migrants. Refugees and migrants may also be at risk of poor mental health because of traumatic or stressful experiences Many of them experience feelings of anxiety and sadness, hopelessness, difficulty sleeping, fatigue, irritability, anger or aches and pains but for most people these symptoms of distress improve over time They may be at more risk of such as depression, anxiety and post-traumatic stress disorder (PTSD) than the host populations. ","The pandemic has highlighted existing inequities in access to and utilization of health services. Refugees and migrants have also suffered the negative economic impact of lockdown and travel restrictions. Income loss and health care insecurity may have particularly affected labour migrants. They may have also experienced legal and social insecurity caused by the postponement of decisions on migration status or a reduction of employment, legal and administrative services. WHO response "
Refugee and migrant mental health,Key facts Overview ,,,"In mid-2024, there were 122.6 million forcibly displaced people globally, including 68.3 million internally displaced people, 37.9 million refugees, 8 million asylum-seekers, and 5.8 million others needing international protection (1). Low- and middle-income countries host 71% of the world’s refugees and others needing international protection (1). ",Many refugees and migrants struggle to access mental health services and face disruptions in continuity of care. Refugees and migrants contribute positively to society and there are many evidence-based strategies to support them in reaching their full potential. ,"Leadership and advocacy. WHO’s Global Action Plan (2019–2023) is designed to promote the health of refugees and migrants through concerted international action and cooperation. The updated Comprehensive Mental Health Action Plan (2013–2030) focuses specifically on promoting mental well-being, and reducing the impact of mental health conditions. It emphasizes the need to address disparities in access to care and improve support for at-risk groups, including refugees and migrants. Through the Global Compact on Refugees Multistakeholder pledge, WHO is committed to integrating mental health and psychosocial support in humanitarian, development and peace-building programmes. WHO also co-chairs the Inter-Agency Standing Committee Reference Group on Mental Health and Psychosocial Support in Emergency Settings, helping to ensure coordinated mental health responses in emergencies. "
Rehabilitation,Overview Rehabilitation is defined as “a set of interventions designed to optimize functioning and reduce disability in individuals with health conditions in interaction with their environment”. ,"Put simply, rehabilitation helps a child, adult or older person to be as independent as possible in everyday activities and enables participation in education, work, recreation and meaningful life roles such as taking care of family. It does so by working with the person and their family to address underlying health conditions and their symptoms, modifying their environment to better suit their needs, using assistive products, educating to strengthen self-management, and adapting tasks so that they can be performed more safely and independently. Together, these strategies can help an individual; overcome difficulties with thinking, seeing, hearing, communicating, eating or moving around. Anybody may need rehabilitation at some point in their lives, following an injury, surgery, disease or illness, or because their functioning has declined with age. ",,"working with a patient in intensive care to improve their breathing, prevent complications and speed their recovery after critical illness Rehabilitation is highly person-centred, meaning that the interventions selected for each individual are targeted to their goals and preferences. Rehabilitation can be provided in many different places, such as inpatient or outpatient hospital settings, outpatient physio- or occupational therapy practices, and community settings such as an individual’s home, a school or a workplace. ","Rehabilitation helps to minimize or slow down the disabling effects of chronic health conditions, such as cardiovascular disease, cancer and diabetes by equipping people with self-management strategies and the assistive products they require, or by addressing pain or other complications. As such, it contributes to healthy ageing. Rehabilitation is an investment, with cost benefits for both the individuals and society. It can help to avoid costly hospitalization, reduce hospital length of stay, and prevent re-admissions. As rehabilitation also enables individuals to engage in or return to work and employment, or to remain independent at home, it minimizes the need for financial or caregiver support. ","Rehabilitation can reduce the impact of a broad range of health conditions, including diseases (acute or chronic), illnesses or injuries. It complements other health interventions, such as medical and surgical interventions, helping to facilitate recovery and achieve the best outcome possible. In addition, rehabilitation can help to prevent, reduce or manage complications associated with many health conditions, such as in the context of spinal cord injury, stroke, or fractures. Rehabilitation helps to minimize or slow down the disabling effects of chronic health conditions, such as cardiovascular disease, cancer and diabetes by equipping people with self-management strategies and the assistive products they require, or by addressing pain or other complications. As such, it contributes to healthy ageing. "
Respiratory syncytial virus (RSV),Key Facts Overview ,Symptoms The first symptoms of RSV usually present between day 4–7 after exposure to the virus (2). ,"Respiratory syncytial virus (RSV) is one of the most common causes of acute lower respiratory infections in children globally, as well as causing substantial burden of severe respiratory disease among elderly persons. Each year RSV causes over 3.6 million hospitalizations and about 100 000 deaths in children under 5 years of age. Most paediatric RSV deaths (97%) occur in low- and middle-income countries where there is limited access to supportive medical care. ","There are two licensed immunization products for prevention of RSV disease in young infants: a long-acting monoclonal antibody administered to infants soon after birth and a maternal vaccine given to pregnant women and persons in the latter part of pregnancy. Three vaccines are licensed to prevent severe RSV disease in elderly persons and adults with certain underlying illnesses, like lung and heart disease. ","Each year, RSV causes an estimated 3.6 million RSV-associated hospitalizations and approximatively 100 000 RSV-attributable deaths in children under 5 years of age worldwide (3). Approximately half of RSV deaths among children occur in infants under the age of 6 months. Most paediatric RSV deaths (97%) occur in low- and middle-income countries where there is limited access to supportive medical care (3). The global estimates of adult RSV disease are not known; in the United States of America, it has been estimated that RSV results in up to 160 000 hospitalizations and 10 000 deaths among adults over 65 years of age. The hospitalization rate for adults infected with RSV is higher among individuals with underlying conditions like asthma, chronic obstructive pulmonary disease, or congestive heart failure (4). Most countries demonstrate RSV seasonality, with most annual RSV infections occurring over a several month period (5). In temperate climates, RSV causes seasonal epidemics, tending to occur in late fall and winter, with an average duration of elevated viral circulation of five months. Although not as sharply defined, most sub-tropical and tropical countries also experience consistent months of high RSV circulation during each year but with no clear seasonality patterns (5, 6). ","Severe lung disease can result in low oxygen levels in the body, respiratory muscle fatigue and can sometimes result in death. RSV-LRTI in early life may lead to long-term respiratory consequences, including repeat hospitalizations for respiratory illness during infancy, recurrent wheeze and/or asthma, and impaired lung health beyond infancy (2). RSV infection in elderly adults can exacerbate chronic underlying illnesses, such as lung and heart disease (4). "
Rheumatic heart disease,Key facts Rheumatic heart disease is the most commonly acquired heart disease in people under age 25. Rheumatic heart disease affects an estimated 55 million people worldwide and claims approximately 360 000 lives each year – the large majority in low- or middle-income countries. ,Signs and symptoms Rheumatic fever symptoms can include: ,"The disease results from damage to heart valves caused by one or several episodes of rheumatic fever, an autoimmune inflammatory reaction to throat infection caused by group A streptococci (streptococcal pharyngitis or strep throat). It most commonly occurs in childhood and can lead to death or life-long disability. ","Rheumatic heart disease can be prevented by preventing streptococcal infections through addressing poverty and improving living and housing standards, or prompt treatment of streptococcal infections with antibiotics when they do occur. Overview ","Treatment There is no cure for rheumatic heart disease and the damage to the heart valves is permanent. Patients with severe rheumatic heart disease will often require surgery to replace or repair the damaged valve or valves. Depending on the severity of disease, medication may also be needed to treat symptoms of heart failure or heart rhythm abnormalities. Medications which thin the blood to reduce the risk of blood clots may also be needed. In the case of serious disease surgery may be required to repair or replace the heart valves. This is often not available in low-income settings, or when it is available the costs may be too high if not covered as part of national health plans, putting families under increased financial strain. ",
Rheumatoid arthritis,Overview ,"Common symptoms include chronic pain, stiffness, tenderness, heat and swelling in the joints. RA can make it hard to move and perform daily activities. The causes of rheumatoid arthritis are unknown. Risk factors include smoking, obesity and exposure to air pollution. Women and older people have a higher risk of developing RA. ","Rheumatoid arthritis (RA) is a chronic disease that causes inflammation around the body and commonly presents with pain in the joints. Untreated, RA can cause severe damage to the joints and their surrounding tissue. It can lead to heart, lung or nervous system problems. ","Prevention and control Several key prevention strategies have been proposed to prevent rheumatoid arthritis and control the disease progression. In particular, reducing exposure to inhaled silica, dusts and occupational risks, and lifestyle related behaviours (e.g., prevention of/stop smoking, healthy nutrition, physical activity, maintaining a normal body weight, maintaining good dental hygiene) play an important role. Some evidence also suggests breastfeeding may be protective to the mother (4). ","If diagnosed timely, symptoms and disease progression can be controlled with pharmacological treatment, and optimal functioning can be maintained through rehabilitation (including the use of assistive products). In cases with severe joint damage, surgical procedures, including joint replacement, may help to restore movement or manage pain, and maintain physical function. Scope of the problem ",Rheumatoid arthritis is a chronic condition that impacts many aspects of life. Lifestyle changes are often needed for individuals and their families. Education and support help people with rheumatoid arthritis to develop strategies to cope with the disease. It is important to maintain a healthy lifestyle with regular physical activity and a nutritious diet. 
Rift Valley fever,Key facts Rift Valley fever (RVF) is a viral zoonosis that primarily affects animals but can also infect humans. Most human infections result from contact with the blood or organs of infected animals. Overview ,The incubation period (the interval from infection to onset of symptoms) for RVF varies from 2 to 6 days. Outbreaks in animals can be prevented by a sustained programme of animal vaccination. ,Rift Valley fever is a viral zoonosis that primarily affects animals but can also infect humans. Infection can cause severe disease in both animals and humans. The disease results in significant economic losses due to death and abortion among RVF-infected livestock. RVF virus is a member of the Phlebovirus genus. The virus was first identified in 1931 during an investigation into an epidemic among sheep in the Rift Valley of Kenya. ,"An inactivated vaccine has been developed for human use. However, this vaccine is not licensed and is not commercially available. It has been used experimentally to protect veterinary and laboratory personnel at high risk of exposure to RVF. Other candidate vaccines are under investigation. Prevention and control ","To date, no human-to-human transmission of RVF has been documented, and no transmission of RVF to health care workers has been reported when standard infection control precautions have been implemented. . Symptoms in humans ","the importance of personal and community protection against mosquito bites through the use of impregnated mosquito nets, personal insect repellent if available, light-coloured clothing (long-sleeved shirts and trousers) and by avoiding outdoor activity at peak biting times of the vector species; vector control using larviciding measures at mosquito breeding sites if they can be clearly identified and are limited in size and extent. During periods of flooding the number and extent of breeding sites is usually too high for larviciding measures to be feasible. "
Ringworm (tinea),Key facts Overview ,"Symptoms include itching, redness, and a ring-shaped rash. It is typically treated with antifungal medications. ","Ringworm is a common fungal infection of the skin caused by dermatophyte fungi that have adapted to live on keratin, the hard fibrous protein found in skin and hair. Ringworm accounts for roughly half of the estimated 650 million fungal skin infections globally (1). ","In addition to medication, keeping the affected area clean and dry can help promote healing and prevent the spread of infection. Prevention ","A newly described ringworm species has spread widely and is now common in countries of South-East Asia. It has also spread beyond this to Africa, the Middle East, Europe and the Americas. It is also often resistant to treatment with antifungal medicines. Close contact with an infected person or animal increases the risk of transmission. ",
Road traffic injuries,Key facts Approximately 1.19 million people die each year as a result of road traffic crashes. Overview ,,"Road traffic injuries are the leading cause of death for children and young adults aged 5–29 years. 92% of the world's fatalities on the roads occur in low- and middle-income countries, even though these countries have around 60% of the world's vehicles. ","Safe vehicles play a critical role in averting crashes and reducing the likelihood of serious injury. There are a number of UN regulations on vehicle safety that, if applied to countries’ manufacturing and production standards, would potentially save many lives. These include requiring vehicle manufacturers to meet front and side impact regulations, to include electronic stability control (to prevent over-steering) and to ensure airbags and seat-belts are fitted in all vehicles. Without these basic standards the risk of traffic injuries – both to those in the vehicle and those out of it – is considerably increased. Inadequate post-crash care ","Road traffic injuries cause considerable economic losses to individuals, their families, and to nations as a whole. These losses arise from the cost of treatment as well as lost productivity for those killed or disabled by their injuries, and for family members who need to take time off work or school to care for the injured. Road traffic crashes cost most countries 3% of their gross domestic product. Who is at risk? ","An increase in average speed is directly related both to the likelihood of a crash occurring and to the severity of the consequences of the crash. For example, every 1% increase in mean speed produces a 4% increase in the fatal crash risk and a 3% increase in the serious crash risk. The risk of death for pedestrians hit by car fronts rises rapidly (4.5 times from 50 km/h to 65 km/h). "
Rubella,Key facts Rubella is a contagious viral infection transmitted by airborne droplets that occurs most often in children and young adults. Overview ,"Symptoms In children, the disease is usually mild, with symptoms including a rash, low fever (<39°C), nausea and mild conjunctivitis. The rash, which occurs in 50–80% of cases, lasts 1–3 days and usually starts on the face and neck before progressing down the body. Swollen lymph glands behind the ears and in the neck are the most characteristic clinical feature. Infected adults, more commonly women, may develop arthritis and painful joints that usually last from 3–10 days. ","Rubella is the leading vaccine-preventable cause of birth defects, accounting for an estimated 100 000 infants born with congenital rubella syndrome (CRS) each year worldwide. Rubella virus infection during pregnancy may result in miscarriage, fetal death or CRS. The most severe damage occurs early in pregnancy, especially in the first trimester. ","Being vaccinated is the best way to prevent getting sick with rubella or spreading it to other people. The vaccine is safe and helps your body fight off the virus. There were an estimated 17 865 cases of rubella in 78 countries in 2022, despite the availability of a safe and cost-effective vaccine. ","Children with CRS can suffer hearing impairments, eye and heart defects and other lifelong disabilities, including autism, diabetes mellitus and thyroid dysfunction – many of which require costly therapy, surgeries and other expensive care. The highest risk of CRS is in countries where women of childbearing age do not have immunity to the disease (either through vaccination or from having had rubella). Before the introduction of the vaccine, up to 4 babies in every 1000 live births were born with CRS. ","M&RP is part of IA2030, an ambitious global strategy to maximize the lifesaving impact of vaccines – one of the most successful and cost-effective public health interventions of all time. IA2030 aims to avert over 50 million deaths by 2030 through access to essential vaccines and help build healthcare systems that can withstand the impact of pandemics and deliver rapid vaccination response. "
Salmonella (non-typhoidal),,"The onset of disease symptoms occurs 6–72 hours (usually 12–36 hours) after ingestion of Salmonella, and illness lasts 2–7 days. Symptoms of salmonellosis are relatively mild and patients will make a recovery without specific treatment in most cases. However, in some cases, particularly in children and elderly patients, the associated dehydration can become severe and life-threatening. ","The burden of foodborne diseases is substantial: every year almost 1 in 10 people fall ill and 33 million of healthy life years are lost. Foodborne diseases can be severe, especially for young children. Diarrhoeal diseases are the most common illnesses resulting from unsafe food, 550 million people falling ill each year, including 220 million children under the age of 5 years. Salmonella is 1 of the 4 key global causes of diarrhoeal diseases. Salmonella is a gram negative rods genus belonging to the Enterobacteriaceae family. Within 2 species, Salmonella bongori and Salmonella enterica, over 2500 different serotypes or serovars have been identified to date. Salmonella is a ubiquitous and hardy bacteria that can survive several weeks in a dry environment and several months in water. ","Prevention methods Prevention requires control measures at all stages of the food chain, from agricultural production, to processing, manufacturing and preparation of foods in both commercial establishments and at home. ","While all serotypes can cause disease in humans, a few are host-specific and can reside in only one or a few animal species: for example, Salmonella enterica serotype Dublin in cattle and Salmonella enterica serotype Choleraesuis in pigs. When these particular serotypes cause disease in humans, it is often invasive and can be life-threatening. Most serotypes, however, are present in a wide range of hosts. Typically, such serotypes cause gastroenteritis, which is often uncomplicated and does not need treatment, but disease can be severe in the young, the elderly, and patients with weakened immunity. This group features Salmonella enterica serotype Enteritidis and Salmonella enterica serotype Typhimurium, the two most important serotypes of Salmonella transmitted from animals to humans in most parts of the world. The disease ","In partnership with other stakeholders, WHO is strongly advocating the importance of food safety as an essential element in ensuring access to safe and nutritious diets. WHO is providing policies and recommendations that cover the entire food chain from production to consumption, making use of different types of expertise across different sectors. WHO is working towards the strengthening of food safety systems in an increasingly globalized world. Setting international food safety standards, enhancing disease surveillance, educating consumers and training food handlers in safe food handling are amongst the most critical interventions in the prevention of foodborne illnesses. "
Sand and dust storms,Key facts Sand and dust storm episodes contribute directly to air pollution by increasing particulate matter concentrations. In some regions dust is a main source of air pollution from particulate matter. Overview ,,"Airborne dust is not restricted to geographical boundaries and so requires regional cooperation across nations to address the problem. Being a global phenomenon that affects specific areas, it is a challenge for the health sector because of the difficulty in characterizing the exposure and the limited evidence on its long-term health effects. There is also a gap between health evidence in dust emitting regions and receptor regions, as desert dust events often involve long-range transport over great distances (>1000 km). Most of the health studies related to SDS events occur in high-income countries in receptor regions. Currently, the response from governments is based on the knowledge of short terms health effects, limited early warning systems and the provision of information to vulnerable groups in real time, as well as the impact of emergency visits. ","Going forward there is a need for strengthened collaboration between medical and environmental scientists to explore better exposure assessment, dust size fraction and specific chemical composition. The health sector should also address the gaps in knowledge and response on the health impacts of desert dust in the longer term and continue strengthening collaboration with appropriate government entities to provide a timely and effective public health response. Furthermore, collaborative and multi-country research – for both short- and long-term health impacts of SDS as well as the synergistic effects of both exposure to heat and particulate matter – is critical to protecting public health. Starting in 2023, the International Day of Combating Sand and Dust Storms will be observed every year on 12 July. ","An estimated 25% of dust emissions originates from human activities, including deforestation, land degradation, unsustainable land management, climate change and water mismanagement (1). Globally, 330 million people are exposed daily to particles transported by wind, sometimes for thousands of kilometres from source areas (2). ","Sand and dust storms present a formidable, widespread threat to health and hinder the achievement of sustainable development in its economic, social and environmental dimensions. Originating from the land, these particles of various size and composition get lifted in the air, creating storms. This is especially the case in dry regions, where vegetation is sparse or absent, such as deserts and agricultural land impacted by drought. Their wide impact goes beyond human health and air quality, as it also impacts agriculture, environment, industry, transport and water quality. There is a wealth of scientific evidence on associations between desert dust and sand storms and adverse short term health effects, yet there is a need for more research on the health impacts of SDS, including harmonized protocol to assess exposure, more studies in dust-emitting areas as well as long term health effects. "
Sanitation,"Key facts In 2022, 57% of the global population (4.6 billion people) used a safely managed sanitation service. Over 1.5 billion people still do not have basic sanitation services, such as private toilets or latrines. Overview ",,"reducing the spread of intestinal worms, schistosomiasis and trachoma, which are neglected tropical diseases that cause suffering for millions; reducing the severity and impact of malnutrition; ","Diarrhoea remains a major killer but is largely preventable. Better water, sanitation, and hygiene could prevent the deaths among children aged under 5 years, 395 000 in the year 2019. Open defecation perpetuates a vicious cycle of disease and poverty. The countries where open defection is most widespread have the highest number of deaths of children aged under 5 years as well as the highest levels of malnutrition and poverty, and big disparities of wealth. ","In 2020, 44% of the household wastewater generated globally was discharged without safe treatment (1). At least 10% of the world’s population is thought to consume food irrigated by wastewater. ","Poor sanitation reduces human well-being, social and economic development due to impacts such as anxiety, risk of sexual assault, and lost opportunities for education and work. Poor sanitation is linked to transmission of diarrhoeal diseases such as cholera and dysentery, as well as typhoid, intestinal worm infections and polio. It exacerbates stunting and contributes to the spread of antimicrobial resistance. "
